,barridas_totales,centros_totales,duelos_aereos_totales,duelos_en_el_suelo_totales,match_id,pases_largos_totales,pases_totales,penales_totales,player_id,regates_totales,barridas_ganadas,centros,duelos_aereos_ganados,pases_completados,pases_largos_completados,duelos_en_el_suelo_ganados,regates,penales_atajados,team_id,minutes,salvadas_de_portero,goles,asistencias,goles_recibidos,total_remates,fueras_de_juego,asistencias_esperadas,pases_claves,pases_en_el_ultimo_tercio,pases_hacia_atras,toques,faltas_recibidas,goles_esperados_al_arco_concedidos,goles_esperados_evitados,faltas_cometidas,posesiones_perdidas,regateado,despeje_con_los_punos,despejes,intercepciones,recuperacion_de_la_posesion,goles_esperados,remates_fuera,remates_a_puerta,goles_esperados_de_remates_al_arco,chances_perdidas,big_chances_scored,grandes_chances,penales_cometidos,errores_que_terminan_el_disparo,posesiones_ganadas_en_el_ultimo_tercio,remates_bloqueados,despejes_por_alto,pelotas_al_poste,penal_fallado,penales_ganados
0,0,0,0,0,4167384,20,49,0,552504,0,0,0,0,38,9,0,0,1.0,349.0,90.0,7.0,0.0,0.0,3.0,0.0,0.0,0.00061,0.0,2.0,0.0,62.0,0.0,3.0,-0.03,0.0,11.0,0.0,1.0,1.0,0.0,9.0,,,,,,,,,,,,,,,
1,4,1,0,0,4167384,2,35,0,50966634,2,2,1,0,31,1,0,1,0.0,349.0,90.0,,0.0,0.0,,1.0,0.0,0.079,1.0,1.0,11.0,61.0,0.0,,,0.0,7.0,1.0,,2.0,4.0,1.0,0.039,1.0,,,,,,,,,,,,,
2,2,0,4,3,4167384,4,57,0,540689,0,1,0,2,50,1,2,0,0.0,349.0,90.0,,1.0,0.0,,2.0,0.0,0.049,1.0,4.0,7.0,68.0,0.0,,,1.0,7.0,0.0,,4.0,1.0,0.0,0.7,,2.0,1.12,1.0,1.0,,,,,,,,,
3,2,0,7,5,4167384,0,53,0,13366904,0,1,0,4,44,0,2,0,0.0,349.0,90.0,,0.0,0.0,,0.0,0.0,0.4,1.0,2.0,4.0,70.0,0.0,,,1.0,12.0,1.0,,7.0,0.0,1.0,,,,,,,1.0,1.0,,,,,,,
4,1,0,0,0,4167384,0,39,0,8448849,0,1,0,0,33,0,0,0,0.0,349.0,90.0,,0.0,0.0,,0.0,0.0,0.012,0.0,2.0,4.0,62.0,1.0,,,0.0,11.0,0.0,,3.0,0.0,5.0,,,,,,,,,1.0,,,,,,
5,0,0,0,0,4167384,4,47,0,493035,0,0,0,0,39,3,0,0,0.0,349.0,90.0,,0.0,0.0,,1.0,0.0,0.039,2.0,6.0,6.0,64.0,1.0,,,0.0,9.0,0.0,,5.0,5.0,3.0,0.032,1.0,,,,,,,,1.0,,,,,
6,0,1,2,4,4167384,0,38,0,51131240,1,0,1,1,32,0,2,1,0.0,349.0,70.0,,0.0,0.0,,3.0,0.0,0.0085,0.0,1.0,9.0,53.0,0.0,,,1.0,8.0,0.0,,1.0,3.0,2.0,0.31,,2.0,0.71,,,,,,,1.0,,,,
7,0,3,0,0,4167384,2,22,0,489253,1,0,1,0,19,1,0,1,0.0,349.0,70.0,,0.0,0.0,,0.0,0.0,0.16,0.0,1.0,8.0,33.0,2.0,,,0.0,7.0,0.0,,1.0,0.0,3.0,,,,,,,,,,2.0,,,,,
8,6,5,0,0,4167384,8,56,0,502580,2,3,1,0,49,8,0,1,0.0,349.0,90.0,,0.0,1.0,,0.0,0.0,0.12,3.0,9.0,8.0,82.0,2.0,,,1.0,14.0,0.0,,2.0,2.0,4.0,,,,,,,,,,,,,,,
9,0,0,0,0,4167384,0,25,0,430398,0,0,0,0,17,0,0,0,0.0,349.0,90.0,,0.0,0.0,,2.0,1.0,0.0057,1.0,3.0,6.0,37.0,0.0,,,1.0,12.0,1.0,,2.0,0.0,5.0,0.15,,,,,,,,,,2.0,,,,
10,0,0,6,11,4167384,0,16,0,373632,0,0,0,2,10,0,2,0,0.0,349.0,90.0,,1.0,0.0,,4.0,1.0,0.18,0.0,0.0,5.0,32.0,1.0,,,4.0,13.0,0.0,,1.0,0.0,2.0,0.33,,2.0,0.68,,,,,,1.0,2.0,,,,
11,1,0,0,0,4167384,0,0,0,64329313,0,1,0,0,0,0,0,0,0.0,349.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,
12,0,0,0,0,4167384,0,0,0,394721,0,0,0,0,0,0,0,0,0.0,349.0,1.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,
13,0,0,0,0,4167384,0,1,0,18041251,0,0,0,0,1,0,0,0,0.0,349.0,1.0,,0.0,0.0,,1.0,0.0,1.1e-05,0.0,0.0,1.0,3.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,0.018,,1.0,0.02,,,,,,,,,,,
14,0,0,0,0,4167384,0,2,0,32435492,0,0,0,0,1,0,0,0,0.0,349.0,20.0,,0.0,0.0,,0.0,0.0,0.0007,0.0,1.0,0.0,10.0,0.0,,,1.0,1.0,0.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,0,1,0,0,4167384,0,3,0,50730203,0,0,1,0,2,0,0,0,0.0,349.0,20.0,,0.0,0.0,,0.0,0.0,0.041,1.0,0.0,0.0,5.0,0.0,,,0.0,1.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,
16,0,0,0,0,4167384,0,0,0,476035,0,0,0,0,0,0,0,0,0.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0,0,0,0,4167384,0,0,0,4632964,0,0,0,0,0,0,0,0,0.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0,0,0,0,4167384,0,0,0,3094154,0,0,0,0,0,0,0,0,0.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0,0,0,0,4167384,0,0,0,972964,0,0,0,0,0,0,0,0,0.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0,0,0,0,4167384,0,0,0,50548216,0,0,0,0,0,0,0,0,0.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0,0,0,0,4167384,0,0,0,62450358,0,0,0,0,0,0,0,0,0.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0,0,0,0,4167384,0,0,0,6573934,0,0,0,0,0,0,0,0,0.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,0,0,4167384,12,20,0,386642,0,0,0,0,13,5,0,0,0.0,333.0,90.0,5.0,0.0,0.0,2.0,0.0,0.0,0.00029,0.0,1.0,0.0,31.0,0.0,2.5,0.53,0.0,7.0,0.0,0.0,1.0,0.0,8.0,,,,,,,,,,,,1.0,,,
24,1,0,0,0,4167384,3,67,0,50457607,0,1,0,0,56,1,0,0,0.0,333.0,90.0,,0.0,0.0,,0.0,0.0,0.018,0.0,3.0,4.0,82.0,1.0,,,0.0,12.0,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,
25,0,0,7,3,4167384,3,77,0,412127,1,0,0,5,73,3,2,1,0.0,333.0,90.0,,0.0,0.0,,3.0,0.0,0.027,0.0,7.0,2.0,90.0,0.0,,,0.0,5.0,0.0,,4.0,1.0,6.0,0.14,1.0,2.0,0.23,,,,,,,,,,,
26,4,2,0,0,4167384,9,69,0,30803774,0,3,1,0,61,5,0,0,0.0,333.0,90.0,,0.0,0.0,,1.0,0.0,0.074,0.0,9.0,9.0,90.0,0.0,,,3.0,13.0,0.0,,4.0,0.0,5.0,0.038,1.0,,,,,,,,,,,1.0,,
27,0,4,2,3,4167384,0,40,0,527341,0,0,3,1,35,0,1,0,0.0,333.0,90.0,,0.0,0.0,,4.0,0.0,0.19,4.0,3.0,12.0,59.0,1.0,,,0.0,10.0,0.0,,0.0,0.0,2.0,0.33,2.0,1.0,0.18,1.0,,,,,1.0,1.0,,,,
28,2,0,4,7,4167384,0,55,0,3085403,0,1,0,3,46,0,4,0,0.0,333.0,81.0,,0.0,0.0,,1.0,0.0,0.053,1.0,8.0,14.0,66.0,2.0,,,3.0,9.0,0.0,,2.0,0.0,6.0,0.028,,,,,,,,,1.0,1.0,,,,
29,0,0,2,2,4167384,5,104,0,287803,0,0,0,1,98,2,1,0,0.0,333.0,90.0,,1.0,0.0,,2.0,0.0,0.36,5.0,18.0,17.0,117.0,1.0,,,0.0,10.0,0.0,,1.0,1.0,7.0,0.058,1.0,1.0,0.21,,,1.0,,,,,,,,
30,0,5,0,0,4167384,0,27,0,39079546,0,0,1,0,23,0,0,0,0.0,333.0,90.0,,0.0,0.0,,1.0,0.0,0.065,0.0,0.0,9.0,47.0,2.0,,,0.0,12.0,2.0,,0.0,1.0,4.0,0.32,,1.0,0.21,1.0,,,,,,,,,,
31,4,0,0,0,4167384,4,63,0,49449655,0,2,0,0,47,2,0,0,0.0,333.0,90.0,,2.0,0.0,,4.0,0.0,0.26,3.0,4.0,12.0,81.0,1.0,,,0.0,23.0,1.0,,0.0,0.0,4.0,1.1,,3.0,1.82,1.0,1.0,1.0,,,,1.0,,,1.0,
32,0,0,0,0,4167384,1,35,0,342440,0,0,0,0,29,1,0,0,0.0,333.0,64.0,,0.0,0.0,,1.0,0.0,0.031,0.0,1.0,16.0,40.0,1.0,,,0.0,8.0,0.0,,1.0,0.0,4.0,0.14,,1.0,0.11,,,,,,,,,,,
33,0,1,5,8,4167384,0,10,0,38971849,3,0,1,2,6,0,2,2,0.0,333.0,81.0,,0.0,0.0,,5.0,0.0,0.044,2.0,1.0,6.0,32.0,0.0,,,1.0,16.0,0.0,,0.0,0.0,0.0,0.35,3.0,,,,,,,,,2.0,,1.0,,
34,0,0,0,0,4167384,0,7,0,44382887,0,0,0,0,6,0,0,0,0.0,333.0,9.0,,0.0,0.0,,1.0,0.0,0.018,0.0,0.0,4.0,14.0,2.0,,,0.0,3.0,0.0,,0.0,0.0,0.0,0.095,,,,,,,,,,1.0,,,,1.0
35,0,0,0,0,4167384,0,26,0,613840,0,0,0,0,24,0,0,0,0.0,333.0,9.0,,0.0,0.0,,0.0,0.0,0.022,0.0,2.0,2.0,27.0,0.0,,,0.0,3.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,
36,0,0,0,0,4167384,0,12,0,3173630,0,0,0,0,11,0,0,0,0.0,333.0,26.0,,0.0,0.0,,2.0,0.0,0.03,0.0,0.0,6.0,16.0,0.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.12,,1.0,0.21,,,,,,,1.0,,,,
37,0,0,0,0,4167384,0,0,0,64816557,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,0,0,0,0,4167384,0,0,0,26310296,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0,0,0,0,4167384,0,0,0,43467357,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,0,0,4167384,0,0,0,511863,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,0,0,0,0,4167384,0,0,0,49633242,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,0,0,0,0,4167384,0,0,0,65328217,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,0,0,0,0,4167384,0,0,0,1140554,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,0,0,0,0,4167384,0,0,0,78005,0,0,0,0,0,0,0,0,0.0,333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
